"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","auctionValue","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"437","Michael Penix Jr.","ATL","qb","11","17","118.2","0","190.2943","277.4444","1927.4332","10.8896","5.9865","15.2658","14.9336","98.6053","0.0661","0","0","0","0","2.1025","1.0569","0.6995","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"438","Bo Melton","GB","wr","11","17","4.1","0","0","0","0","0","0","0","4.3701","26.116","0.1123","0","0","0","0","0.0591","0.026","0.0053","536.9088","0.1372","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"439","Darius Cooper","PHI","wr","10","17","3.6","0","0","0","0","0","0","0","0","0","0","2.6879","1.7954","19.9165","0.1164","0.0194","0.0107","0.0083","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"440","Kameron Johnson","TB","wr","10","17","3.4","0","0","0","0","0","0","0","0.8601","5.0967","0.0341","0","0","0","0","0.0116","0.0051","0.001","1028.4778","0.4488","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"441","Jaylin Lane","WAS","wr","7","17","3.1","0","0","0","0","0","0","0","0.3865","2.3329","0.0137","0","0","0","0","0.0052","0.0023","0.0005","1051.2099","0.4578","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"442","Braxton Berrios","NYG","wr","8","17","2.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1032.7515","0.4513","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"443","Anthony Gould","IND","wr","13","17","2.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1014.522","0.4457","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"444","Jacob Cowing","SF","wr","8","17","2.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1016.3598","0.4392","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"445","Arian Smith","NYJ","wr","13","17","1.6","0","0","0","0","0","0","0","2.3463","14.0382","0.0424","0","0","0","0","0.0317","0.014","0.0025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"446","Britain Covey","PHI","wr","10","17","1.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","293.622","0.2527","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
